id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
158499,310,760991,Private room,Italy,Bologna,,Santo Stefano,33,4.5,3,1,1,58,1,,2016-02-07 07:11:03.739077,44.493084,11.346332,0101000020E6100000D61D8B6D52B12640271763601D3F4640
8576337,310,45136743,Entire home/apt,Italy,Bologna,,Santo Stefano,1,5,2,0,1,102,1,,2016-02-07 07:11:00.242640,44.496709,11.344374,0101000020E6100000772FF7C951B026407F501729943F4640
7257982,310,37999104,Entire home/apt,Italy,Bologna,,Santo Stefano,9,5,4,1,1,149,1,,2016-02-07 07:10:45.661562,44.487354,11.352866,0101000020E61000009DBD33DAAAB4264093C9A99D613E4640
10327458,310,30830702,Private room,Italy,Bologna,,Porto - Saragozza,1,4,2,1,1,68,1,,2016-02-07 07:10:34.880896,44.497473,11.340431,0101000020E6100000D316D7F84CAE26404ED2FC31AD3F4640
1214730,310,1884566,Private room,Italy,Bologna,,Santo Stefano,3,4.5,2,1,1,79,2,,2016-02-07 07:10:26.217213,44.490884,11.356482,0101000020E6100000B03907CF84B6264099107349D53E4640
2704474,310,13841663,Entire home/apt,Italy,Bologna,,Porto - Saragozza,11,4.5,4,1,1,93,3,,2016-02-07 07:10:21.898536,44.486798,11.338658,0101000020E6100000BB0ED59464AD26400DE198654F3E4640
2613237,310,7638519,Entire home/apt,Italy,Bologna,,Santo Stefano,56,4.5,3,1,1,44,1,,2016-02-07 07:10:14.868934,44.498301,11.346333,0101000020E6100000170D198F52B126403448C153C83F4640
5644050,310,15203609,Private room,Italy,Bologna,,Porto - Saragozza,2,4.5,2,1,1,109,1,,2016-02-07 07:09:49.030981,44.492258,11.336217,0101000020E6100000EDB776A224AC2640E198654F023F4640
8883497,310,46483525,Private room,Italy,Bologna,,Porto - Saragozza,7,4.5,1,1,2,13,1,,2016-02-07 07:09:44.004599,44.500293,11.334046,0101000020E610000020B8CA1308AB264078B5DC9909404640
4911207,310,25289850,Private room,Italy,Bologna,,Porto - Saragozza,46,5,2,1,1,40,1,,2016-02-07 07:09:35.957786,44.502201,11.339536,0101000020E61000001BA19FA9D7AD26405E82531F48404640
8477028,310,44641940,Entire home/apt,Italy,Bologna,,Borgo Panigale - Reno,5,5,2,1,1,46,3,,2016-02-07 07:09:23.039599,44.502339,11.305493,0101000020E610000059501894699C2640AF40F4A44C404640
7337415,310,9256287,Entire home/apt,Italy,Bologna,,San Donato - San Vitale,14,4.5,2,1,1,58,1,,2016-02-07 07:09:19.074346,44.493176,11.365496,0101000020E61000003CA3AD4A22BB264007962364203F4640
8249848,310,43471702,Private room,Italy,Bologna,,Santo Stefano,10,4.5,2,1,1,80,1,,2016-02-07 07:09:13.332229,44.495569,11.347447,0101000020E6100000C72FBC92E4B12640AAF413CE6E3F4640
6051726,310,1877146,Entire home/apt,Italy,Bologna,,Porto - Saragozza,59,5,3,0,1,92,1,,2016-02-07 07:09:10.246746,44.494877,11.336965,0101000020E610000014CB2DAD86AC264074452921583F4640
5952668,310,28458607,Entire home/apt,Italy,Bologna,,Porto - Saragozza,51,5,4,2,2,92,,,2016-02-07 07:08:54.298944,44.495458,11.328329,0101000020E610000022A81ABD1AA826405245F12A6B3F4640
8304732,310,43785243,Private room,Italy,Bologna,,Santo Stefano,23,4.5,2,1,1,40,1,,2016-02-07 07:08:50.366450,44.487202,11.34602,0101000020E61000001A868F8829B12640DD4598A25C3E4640
