,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
48,48,684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,,Navile,44.51541,11.34628,Entire home/apt,110,2,4,2018-11-11,0.07,1,349,Bolognina
49,49,690226,Bologna on the roof,2048622,Irene,,Santo Stefano,44.49069,11.3518,Entire home/apt,100,3,62,2020-01-31,0.67,3,363,Galvani
50,50,708145,A little nest in Bologna,3641392,A Casa Fuori Casa Di Stefano & Cinz,,Borgo Panigale - Reno,44.50815,11.29563,Entire home/apt,1200,2,32,2018-03-19,0.37,1,320,S. Viola
51,51,715819,Bright and elegant big apartment,3688693,Nic&Giovi,,Santo Stefano,44.47349000000001,11.36903,Entire home/apt,80,2,86,2020-01-06,0.96,1,223,Murri
52,52,724304,Bologna cities and universities,3026417,Michela,,Santo Stefano,44.49325,11.35119,Entire home/apt,110,2,44,2019-09-27,0.5,1,0,Irnerio
53,53,724499,Cozy single room in historic centre,184487,Carlo,,Santo Stefano,44.48698,11.34894,Private room,40,1,33,2020-02-29,0.38,5,365,Galvani
54,54,728099,Large tavernetta 7 minutes from Bologna,2047280,Gabriele,,Borgo Panigale - Reno,44.51586,11.28225,Entire home/apt,38,2,147,2020-01-26,1.59,3,341,Borgo Panigale
55,55,732204,V4 - BOLOGNA AT HEART,1647751,Claudia,,Porto - Saragozza,44.49829,11.34302,Private room,42,1,379,2020-02-21,4.44,1,270,Marconi
56,56,742415,"IN FIERA 5: large,in the face fair",3858191,Ennio,,San Donato - San Vitale,44.50619,11.36288,Entire home/apt,165,1,32,2020-01-02,0.43,3,325,San Donato
57,57,749324,Quiet Studio in Old Town,1877146,Giulio,,Porto - Saragozza,44.49561,11.3361,Entire home/apt,68,2,332,2020-03-08,3.61,5,319,Marconi
58,58,766048,La migliore vista della città.,4039523,Riccardo,,Santo Stefano,44.49924,11.34543,Entire home/apt,85,6,211,2020-03-01,2.43,1,83,Irnerio
59,59,793706,Miniappartamento in Tavernetta,4181174,Flavia,,Santo Stefano,44.48753,11.34114,Entire home/apt,35,3,337,2019-10-31,3.76,1,302,Galvani
60,60,795585,Strada Maggiore Trentasette Studio,4190791,Samantha,,Santo Stefano,44.49265,11.35216,Entire home/apt,100,2,9,2015-11-22,0.1,1,200,Irnerio
61,61,804596,A quiet Place to stay,4235069,Elena,,Porto - Saragozza,44.49824,11.33956,Entire home/apt,60,2,191,2020-01-02,2.13,2,179,Marconi
62,62,813260,Very cosy bedroom in a flat in a beatiful side,4129542,Neva,,Santo Stefano,44.47918,11.35856,Entire home/apt,120,1,3,2013-03-28,0.03,1,365,Murri
63,63,823379,Zer051 Apartment Dossetti,4322997,Elena,,Navile,44.5132,11.35663,Entire home/apt,70,1,54,2019-05-19,0.62,6,0,Bolognina
64,64,838885,Very good Double room with private Bathroom -,4350204,Marco,,Porto - Saragozza,44.49205,11.31838,Private room,30,2,3,2019-04-02,0.1,1,171,Costa Saragozza
65,65,840951,Attic in historical center in Bolog,4170880,Laura,,Porto - Saragozza,44.49442,11.33176,Entire home/apt,83,2,109,2020-04-30,1.23,1,314,Malpighi
66,66,840988,Downtown studio with own bathroom,2438671,Vanessa,,Santo Stefano,44.48781,11.36444,Private room,23,1,32,2019-05-24,0.38,2,350,Murri
67,67,842573,Artist's house,4399085,Anna,,Santo Stefano,44.48749,11.3487,Entire home/apt,65,5,44,2019-06-09,0.51,1,178,Galvani
68,68,859833,large room to let in Bologna,2865895,Daniele,,San Donato - San Vitale,44.49776,11.37099,Private room,50,5,2,2013-09-27,0.02,2,365,San Donato
69,69,860436,close to the center & trainstation,4506590,Alessandro,,Navile,44.50938,11.34944,Private room,45,1,23,2018-10-17,0.27,1,175,Bolognina
70,70,875210,"New STUDIO/LOFT in Fiera, WIFI !!",4209521,Emma,,San Donato - San Vitale,44.50659,11.3677,Entire home/apt,59,3,43,2018-09-15,0.48,1,313,San Donato
71,71,884148,APOSA FLAT / CITY CENTER - BO,4664996,Sandra,,Santo Stefano,44.49945,11.34566,Entire home/apt,50,1,635,2020-02-23,7.24,5,260,Irnerio
72,72,892817,"DOUBLE ROOM, PRIVATE BATH BOLOGNA MINIMUM 2 PEOPLE",4747696,Lella,,Porto - Saragozza,44.49064,11.33281,Private room,50,1,7,2018-10-05,0.25,4,253,Malpighi
73,73,892847,flat 3 rooms 3 bath bologna for you,4747696,Lella,,Porto - Saragozza,44.49165,11.33162,Entire home/apt,95,2,11,2019-05-13,0.23,4,67,Malpighi
74,74,895034,Family friendly place with parking!,2717396,Emily,,Santo Stefano,44.47455,11.37133,Entire home/apt,61,1,97,2020-01-01,1.12,1,258,Murri
75,75,909385,Appartamento per soggiorni brevi,805148,Lara,,Navile,44.52054,11.32067,Entire home/apt,46,3,2,2013-10-10,0.02,1,364,Lame
76,76,915905,Prestigious loft in central Bologna,4916370,Paola,,Santo Stefano,44.48814,11.3491,Entire home/apt,160,2,27,2019-10-07,0.31,2,193,Galvani
77,77,935973,"Little Cottage, charme in Bologna!",5050571,Clara,,Santo Stefano,44.48906,11.36393,Entire home/apt,95,3,142,2020-01-03,1.62,1,333,S. Vitale
78,78,944794,PrettyJewelAttic in Typical Village,3715410,Katia,,Borgo Panigale - Reno,44.51419,11.2841,Entire home/apt,40,2,139,2019-09-20,1.6,1,254,Borgo Panigale
79,79,952460,Apartment in the historical center,4928901,Anna E Elena,,Santo Stefano,44.48694,11.34884,Entire home/apt,70,2,171,2020-01-20,1.97,1,178,Galvani
80,80,961864,"LARGE DOUBLE ROOM, IN THE CENTER",705535,Valerio,,Porto - Saragozza,44.4931,11.33756,Private room,60,3,42,2020-01-02,0.48,9,365,Malpighi
81,81,967061,Little Venice/Center BO,4664996,Sandra,,Santo Stefano,44.49872,11.34541,Entire home/apt,50,2,407,2020-03-09,4.67,5,264,Irnerio
82,82,978836,Appartamento dentro porta,1882258,Morena,,Porto - Saragozza,44.49962,11.33484,Entire home/apt,153,3,108,2020-01-02,1.27,2,357,Marconi
83,83,978945,Triple room with private bathroom minimum 2 people,4747696,Lella,,Porto - Saragozza,44.49094,11.33192,Private room,45,1,13,2018-10-25,0.29,4,356,Malpighi
84,84,979026,TWIN ROOM WITH  PRIVATE BATHROOM,4747696,Lella,,Porto - Saragozza,44.49165,11.33162,Private room,50,1,6,2019-04-23,0.22,4,357,Malpighi
85,85,981083,Doppia o Matrimoniale con bagno ,3398944,Enzo,,Savena,44.47116,11.37847,Private room,120,1,3,2017-03-21,0.05,2,365,Mazzini
86,86,981727,I 4 GATTI Bologna Guesthouse x4,5234186,Filippo,,Porto - Saragozza,44.49263,11.3271,Private room,80,1,24,2018-03-20,0.32,6,180,Costa Saragozza
87,87,984616,Beautiful flat in central Bologna,4916370,Paola,,Santo Stefano,44.48801,11.35365,Entire home/apt,160,3,2,2015-05-31,0.02,2,153,Galvani
88,88,990203,Cute and precious loft downtown ,5437253,Fabrizia,,Porto - Saragozza,44.50086,11.34097,Entire home/apt,67,2,307,2020-03-10,3.52,1,273,Marconi
89,89,993645,Villa Benni An elegant mansion b&b,5458518,Marcella,,Porto - Saragozza,44.48867,11.31842,Private room,104,1,85,2020-02-24,1.02,2,355,Costa Saragozza
90,90,1001947,Casa Dumas,5510279,Alessandro,,Santo Stefano,44.4943,11.35324,Entire home/apt,50,2,93,2020-01-02,1.07,21,362,Irnerio
91,91,1002365,FARM HOUSE with garden and parking,5512231,Federica,,Borgo Panigale - Reno,44.54527,11.24873,Entire home/apt,102,3,9,2019-10-08,0.11,1,365,Borgo Panigale
92,92,1008937,Just like Montmartre in Italy,5549727,Thierry,,Santo Stefano,44.48694,11.35337,Entire home/apt,102,2,136,2020-02-23,1.6,1,122,Galvani
93,93,1013831,A gourmet's cozy apt near the station (+garden),5577185,Bebe,,Navile,44.5163,11.34284,Entire home/apt,40,2,163,2020-02-14,1.96,1,15,Bolognina
94,94,1022814,Camera Bolognese di Carlo Alberto,5631196,Carlo,,Porto - Saragozza,44.50326,11.34192,Hotel room,89,1,3,2019-09-08,0.04,1,0,Marconi
95,95,1022914,A whole house and a walk downtown,5630894,Andrea,,Porto - Saragozza,44.49625,11.32006,Entire home/apt,80,2,56,2016-11-01,0.66,1,197,Costa Saragozza
96,96,1023596,APT IN DOWNTOWN WITH A LOT OF GREEN,14234395,Nicola,,Porto - Saragozza,44.49559,11.33248,Entire home/apt,75,2,101,2019-12-27,1.26,2,344,Malpighi
97,97,1027489,Casa Munay Appartments S.Orsola,2845503,Simone,,San Donato - San Vitale,44.49243,11.36684,Entire home/apt,53,4,0,,,4,49,S. Vitale
98,98,1029853,Bologna Best Bed : feel at home,4259314,Nathalie,,Navile,44.51504,11.34018,Entire home/apt,67,2,155,2020-01-02,1.79,1,89,Bolognina
99,99,1076605,FAIR&FICO! ROOM&BREAKFAST From Dusk till Dawn,5923033,Matteo&Tomoko,,San Donato - San Vitale,44.50072,11.37081,Private room,34,2,81,2019-12-02,0.95,1,258,San Donato
100,100,1078032,Modern loft-style flat in Bologna 2284,5056483,Halldis Apartments & Villas,,Navile,44.52533,11.33335,Entire home/apt,117,2,2,2019-12-19,0.08,59,259,Lame
101,101,1078372,Elegant 2bdr at via D'Azeglio 1150,5056483,Halldis Apartments & Villas,,Porto - Saragozza,44.48957,11.33888,Entire home/apt,168,3,3,2017-07-15,0.05,59,114,Malpighi
102,102,1093891,Bright&elegant attic in the heart of Bologna! 1471,5056483,Halldis Apartments & Villas,,Santo Stefano,44.49986,11.35159,Entire home/apt,275,1,3,2018-08-31,0.07,59,105,Irnerio
103,103,1105477,Private room in Bologna,2900560,Laura,,Borgo Panigale - Reno,44.49736,11.29391,Private room,28,1,16,2020-03-09,0.2,1,365,Barca
104,104,1112850,BEAUTIFUL STYLISH FLAT IN TOWN,6029035,Michela,,Porto - Saragozza,44.49766,11.33267,Entire home/apt,200,2,1,2016-09-28,0.02,1,0,Marconi
105,105,1116883,Room Airport,6129734,Manuel,,Borgo Panigale - Reno,44.52287000000001,11.27813,Private room,27,7,186,2019-09-30,2.21,1,90,Borgo Panigale
106,106,1142503,A touch of luxury.GLBT f/ndly wifi,6265596,Maurizio,,Santo Stefano,44.48715,11.34036,Entire home/apt,44,3,360,2020-03-10,4.28,2,171,Galvani
107,107,1149912,Renting room in Bologna Airport,6129693,Manuel,,Borgo Panigale - Reno,44.51978,11.27588,Private room,26,7,156,2020-01-02,1.84,1,365,Borgo Panigale
108,108,1153398,COZY STUDIO IN THE CITY CENTER!!!,6320833,Raffaella,,Santo Stefano,44.49746,11.34908,Entire home/apt,60,2,221,2019-12-15,2.59,1,89,Irnerio
109,109,1175984,Large / Central. Ideal for family,6435724,Angelo & Aurelia,,Santo Stefano,44.49677,11.35425,Entire home/apt,69,2,24,2019-08-11,0.29,1,325,Irnerio
110,110,1181594,lovely flat in Bologna city center,5936779,Laura,,Porto - Saragozza,44.49849,11.34012,Entire home/apt,65,2,418,2020-02-24,4.92,1,354,Marconi
111,111,1189302,Al Mulino /Center - BO,4664996,Sandra,,Santo Stefano,44.49925,11.34584,Entire home/apt,50,1,265,2020-02-26,3.3,5,214,Irnerio
112,112,1199947,Al Morelo / Centro BO,4664996,Sandra,,Santo Stefano,44.49746,11.34565,Entire home/apt,50,1,109,2020-02-23,1.44,5,262,Irnerio
113,113,1207685,Cosy and lovely central attic!,5581314,Martina,,Porto - Saragozza,44.49509000000001,11.33241,Private room,38,3,158,2019-06-10,1.89,1,357,Malpighi
114,114,1214730,"Cozy room,Wifi,kitchen and pvt bath",1884566,Federico,,Santo Stefano,44.49088,11.35648,Entire home/apt,62,2,6,2016-12-07,0.07,4,179,Irnerio
115,115,1222983,In the heart and soul bologna,6670383,Mario,,Porto - Saragozza,44.49867,11.33771,Private room,58,1,5,2016-03-23,0.07,3,0,Marconi
116,116,1228143,Comfortable flat in the city centre,6698997,Francesco,,Porto - Saragozza,44.4948,11.33022,Entire home/apt,70,2,80,2020-02-02,0.95,1,339,Malpighi
117,117,1228557,Single/duble room near fair and city center,4210797,Angela,,Navile,44.51301,11.35102,Private room,45,2,50,2020-02-16,0.62,1,257,Bolognina
118,118,1250727,In the heart and soul of Bologna,6670383,Mario,,Porto - Saragozza,44.49951,11.33786,Private room,58,1,19,2018-03-27,0.24,3,365,Marconi
119,119,1250790,In the heart and soul of Bologna,6670383,Mario,,Porto - Saragozza,44.49828,11.33821,Private room,58,3,10,2016-04-08,0.12,3,365,Marconi
120,120,1311463,PZA MAGGIORE PRETSIGIOUS APARTMENT,3155409,Gabriella,,Porto - Saragozza,44.49571,11.3428,Entire home/apt,200,3,18,2020-03-06,0.24,1,364,Marconi
121,121,1364242,MAST Breakfast Clima Solarium TV SAT,2005506,Massimo,,Borgo Panigale - Reno,44.50554,11.29359,Private room,35,1,37,2019-04-04,0.46,1,364,S. Viola
122,122,1391869,charming open space historic center,7524892,Franco,,Porto - Saragozza,44.48942,11.33297,Entire home/apt,80,3,102,2019-10-11,1.26,1,314,Malpighi
