id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month
1863235,beautifull loft  top of Bologna,8864905,Robert,,Savena,4.447.613.909.146.050,11.385.407.824.283.900,Entire home/apt,115,3,22,29/09/17,0.42,1,363,june,2018
1872453,Delizioso monolocale Bologna fiera.,9757089,Leonardo,,Navile,4.451.598.323.769.730,11.358.436.953.296.100,Entire home/apt,80,1,2,04/05/18,0.04,1,340,june,2018
1929841,Petit Bijou avec Jardin,9992893,Isabelle,,Porto - Saragozza,4.449.764.991.223.960,11.332.613.252.295.900,Entire home/apt,80,2,94,10/06/18,1.72,1,319,june,2018
1933105,central and cozy panoramic view apt,10005873,Paolo,,Santo Stefano,44.501.377.331.423.200,11.349.354.245.987.100,Entire home/apt,90,4,44,23/04/18,0.85,1,360,june,2018
1942540,Vista su Piazza Aldrovandi,7818383,Margherita,,Santo Stefano,44.494.246.376.321.700,11.351.004.408.339.700,Private room,60,1,43,03/06/18,0.83,2,281,june,2018
1948469,Family accomodation,6146407,Michela,,Porto - Saragozza,4.449.979.894.992.140,11.324.783.043.573.800,Private room,36,1,11,01/03/18,0.23,1,1,june,2018
1949394,Matrimoniale nel cuore di Bologna,10080893,Flavio E Viviana,,Santo Stefano,44.499.195.710.729.400,1.134.746.712.854.070,Private room,33,20,20,16/04/18,0.37,1,174,june,2018
1953123,Appartamento a due passi dalla Stazione Bologna AV,10097421,Federica,,Navile,4.450.954.043.439.710,11.343.612.710.686.800,Entire home/apt,60,1,4,04/05/18,1.25,1,87,june,2018
1953800,Wanda's Apartment,5486828,Nicola,,Santo Stefano,4.448.804.681.178.900,1.132.981.008.104.550,Entire home/apt,50,1,123,16/06/18,2.22,1,279,june,2018
1962775,Bright & Comfortable BedRoom,1033461,Lelio,,Navile,4.451.616.420.160.220,113.297.996.359.317,Private room,30,1,25,30/03/18,0.48,2,365,june,2018
1969837,Appartamento Pizzurno,10171967,Maria,,Savena,4.447.617.171.112.510,11.388.907.798.639.900,Entire home/apt,75,3,7,26/05/18,0.14,1,307,june,2018
1992080,Casa Morgana,6360119,Donatello,,Santo Stefano,4.450.322.921.519.480,11.349.415.858.247.600,Entire home/apt,70,1,66,24/05/16,1.18,1,0,june,2018
1997781,Clean small room(2beds) city center,10293375,Vanessa,,Porto - Saragozza,4.449.638.501.666.480,1.133.229.702.287.850,Private room,30,2,3,26/03/14,0.06,1,356,june,2018
2005871,Penthouse with huge terrace,8320345,Alessandro,,Porto - Saragozza,4.449.835.672.994.580,11.339.983.046.197.900,Entire home/apt,140,2,92,03/06/18,1.72,1,94,june,2018
2035193,Stupendo Loft e spazio Yoga,10445585,Andrea,,San Donato - San Vitale,4.449.253.721.882.430,11.384.953.147.061.500,Private room,50,2,14,20/03/18,0.26,1,364,june,2018
2050217,Nice Studio,10507736,Cosimo,,Navile,445.109.877.336.669,11.333.652.519.771.500,Entire home/apt,79,1,22,18/03/18,0.42,1,179,june,2018
2081019,Accogliente doppia centro storico,10631416,Donatella,,Porto - Saragozza,4.449.630.479.103.230,11.327.881.490.010.000,Private room,45,1,15,06/04/17,0.49,1,328,june,2018
2089697,Bello Studio Apt. Central. Free  Wi-Fi.,10666527,Alessandro,,Santo Stefano,4.449.109.895.227.120,11.354.376.618.762.900,Entire home/apt,54,2,209,24/06/18,4.12,1,313,june,2018
2099619,Casa Andrea APPARTAMENTO ESCLUSIVO,10708480,Pier Giuseppe,,Porto - Saragozza,44.495.098.857.512.200,11.327.081.024.266.200,Entire home/apt,60,2,81,28/06/18,1.48,4,292,june,2018
2112874,Appartamento -con WIFI- FIERA SANT'ORSOLA CENTRO,10772630,Federica,,San Donato - San Vitale,4.450.074.308.399.580,1.137.342.397.853.660,Entire home/apt,60,1,98,28/06/18,1.82,1,150,june,2018
2121602,Cozy central double room.,10819161,Giorgia,,Porto - Saragozza,4.449.866.017.116.880,11.328.459.159.557.200,Private room,41,2,4,13/09/15,0.08,1,87,june,2018
2158071,Guesthouse Cartoleria - room 1,779753,Samantha,,Santo Stefano,4.448.952.445.512.480,11.349.692.596.182.300,Private room,35,1,53,21/06/18,1.03,6,55,june,2018
2158172,Guesthouse Cartoleria - room 3,779753,Samantha,,Santo Stefano,4.448.887.982.841.450,11.348.990.237.120.300,Private room,40,1,23,22/06/18,0.50,6,42,june,2018
2175745,COZY APARTMENT IN BOLOGNA,10988970,Daniela,,Navile,4.451.474.166.607.230,11.345.168.927.827.400,Entire home/apt,40,2,30,20/06/18,0.58,2,330,june,2018
2176533,Stanza privata in appartamento accogliente,10988970,Daniela,,Navile,4.451.496.374.940.680,11.346.004.345.378.700,Private room,20,2,14,10/06/18,2.47,2,316,june,2018
2195163,Marsala Charme Central and Bright with Piano,11196379,Giancarlo,,Santo Stefano,44.497.301.053.281.300,1.134.474.287.121.350,Entire home/apt,70,3,34,23/06/18,0.67,3,209,june,2018
2206704,Casa Luisa appartamento turistico,10708480,Pier Giuseppe,,Borgo Panigale - Reno,44.506.805.430.896.800,11.308.209.007.497.900,Entire home/apt,55,2,2,06/04/17,0.04,4,350,june,2018
2212785,APPARTAMENTO SOGGIORNI BREVI,10708480,Pier Giuseppe,,Borgo Panigale - Reno,4.450.677.112.868.100,11.306.379.160.327.600,Entire home/apt,55,2,0,,,4,348,june,2018
2213695,Affittacamere Casa Maria Orri,11291668,Casa Maria Orri,,San Donato - San Vitale,444.934.685.831.472,11.374.496.140.312.100,Private room,40,1,3,19/05/14,0.06,3,89,june,2018
2219937,Camera tranquilla-luminosa zona Ospedale Maggiore,11325267,Ines,,Porto - Saragozza,4.450.371.938.245.740,11.308.645.012.907.100,Private room,25,1,99,03/06/18,1.87,1,350,june,2018
2240847,Monolocale Sant'Orsola Malpighi,9052705,Monica,,San Donato - San Vitale,4.449.385.190.004.660,11.366.815.429.191.900,Entire home/apt,60,2,2,18/03/18,0.07,2,364,june,2018
2240849,Nice and comfortable flat Bologna,9052705,Monica,,San Donato - San Vitale,44.491.838.082.327.000,11.366.951.618.300.200,Entire home/apt,65,2,15,24/04/18,0.29,2,356,june,2018
2243168,Central room with private bathroom,2642871,MariaChiara,,Porto - Saragozza,4.449.896.159.137.570,11.337.190.258.112.100,Private room,50,3,22,23/03/15,0.41,4,365,june,2018
2250424,Casa Letizia TWO  bright  of historic center.,9081398,Letizia,,Santo Stefano,44.494.489.708.756.100,11.346.909.371.647.900,Entire home/apt,70,2,54,28/06/18,5.85,3,222,june,2018
2256148,DA NONNO Arte & Ospitalità EROS/ERA,11521610,Clio,,San Donato - San Vitale,44.504.536.377.159.600,11.376.394.762.133.300,Private room,20,1,45,22/05/18,0.85,2,59,june,2018
2261557,Palazzo Pannolini Central and Quiet,11196379,Giancarlo,,Santo Stefano,4.449.512.666.588.840,1.134.893.244.032.550,Entire home/apt,70,3,42,22/06/18,0.85,3,212,june,2018
2273362,"""Bijou House"" city centre free wi-fi Netflix",11606565,Cristina,,Santo Stefano,4.449.800.087.911.510,11.349.819.265.201.300,Entire home/apt,110,2,9,29/07/17,0.20,1,326,june,2018
2280311,"""Behind Lumieré"" Big & Sunny room in Art District",11610405,Ilaria Silvia,,Porto - Saragozza,4.449.763.623.046.040,1.133.628.842.634.160,Private room,40,1,134,16/06/18,4.05,4,68,june,2018
2282623,Apt. S.Orsola-Fair with parking,11658074,Cecilia,,San Donato - San Vitale,4.449.327.926.528.920,11.366.498.053.759.000,Entire home/apt,50,1,434,22/06/18,8.12,1,285,june,2018
2295576,les chambres de Amelie,11146528,Roberta,,Porto - Saragozza,4.450.471.364.479.740,11.342.641.017.896.300,Private room,100,1,0,,,8,365,june,2018
2328857,SUITE GRACE - holiday apartment,11896354,Adamo,,Borgo Panigale - Reno,445.055.052.514.219,11.281.255.055.836.700,Entire home/apt,50,1,10,06/05/18,0.19,1,364,june,2018
2329387,TONYS PLACE HOME HOLYDAYS BOLOGNA,11898231,Antonio,,Borgo Panigale - Reno,44.517.248.283.142.900,11.278.605.737.509.500,Entire home/apt,60,2,37,03/06/18,0.70,1,173,june,2018
2337431,Nice double room in new flat!,4340095,Giulia,,Porto - Saragozza,4.450.095.405.268.270,11.322.123.869.104.300,Private room,30,2,27,19/06/18,0.51,1,75,june,2018
2349237,Storia d'Italia - Vacation Home,7802745,Michele,,Santo Stefano,44.501.119.534.542.200,11.348.470.350.039.300,Entire home/apt,75,1,149,15/06/18,2.93,5,126,june,2018
2349486,IDEAL APT. IN BOLOGNA - CENTRE/FAIR,11997215,Andrea,,San Donato - San Vitale,44.506.681.364.352.500,11.355.564.616.550.800,Entire home/apt,75,2,105,15/06/18,2.01,2,241,june,2018
2349787,Private rooms in quiet zone,9183683,Massimo,,Porto - Saragozza,44.490.955.854.218.600,11.327.671.858.994.300,Private room,30,1,46,03/06/18,0.89,2,365,june,2018
2349835,From Grandfather Arts & hospitality,11521610,Clio,,San Donato - San Vitale,44.505.642.499.713.900,11.377.753.637.985,Private room,30,1,29,25/05/18,0.56,2,333,june,2018
2354825,Nice room in historical centre,12025068,Monica,,Santo Stefano,4.448.754.056.848.270,11.340.844.559.001.200,Private room,30,2,112,15/06/18,2.13,1,342,june,2018
2365944,In the magic of Bologna B&B,12085699,Barbara,,Porto - Saragozza,4.449.534.588.082.970,1.133.228.408.208.700,Private room,35,1,328,25/06/18,6.18,1,255,june,2018
2377101,Camera privata in centro ,5736666,Chiara,,Porto - Saragozza,44.498.835.740.244.600,11.332.954.985.704.900,Private room,40,1,14,29/09/17,0.31,4,150,june,2018
