,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
2234,44047898,Condo in Bologna · ★4.20 · 2 bedrooms · 5 beds · 2 baths,216244849,Cinzia,,Navile,44.54784,11.35464,Private room,130,5,5,2022-05-02,0.14,5,133,0,,Corticella
2235,44086575,Rental unit in Bologna · ★3.75 · 1 bedroom · 2 beds · 1 shared bath,347773269,Naveen,,Santo Stefano,44.47991,11.37123,Private room,25,1,4,2020-08-19,0.11,1,0,0,,Murri
2236,44119988,Home in Bologna · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,216244849,Cinzia,,Navile,44.54784,11.35464,Private room,60,5,6,2022-10-21,0.18,5,51,2,,Corticella
2237,44120166,Home in Bologna · ★4.60 · 1 bedroom · 2 beds · 1 private bath,216244849,Cinzia,,Navile,44.54784,11.35464,Private room,68,5,10,2023-06-17,0.29,5,89,5,,Corticella
2238,44130860,Rental unit in Bologna · ★4.82 · 1 bedroom · 1 bed · 1 private bath,145842663,Luca,,Navile,44.50789,11.345889999999999,Private room,64,1,197,2023-06-20,5.48,3,110,54,,Bolognina
2239,44140061,Condo in Bologna · ★4.83 · Studio · 2 beds · 1 bath,97803982,Michele,,Porto - Saragozza,44.497505,11.34327,Entire home/apt,139,2,18,2022-09-30,0.75,1,218,2,,Marconi
2240,44147821,Rental unit in Bologna · 1 bedroom · 1 bed · 1 bath,321542891,Antonio,,Porto - Saragozza,44.49981,11.3244,Entire home/apt,45,15,0,,,1,0,0,,Saffi
2241,44158974,Rental unit in Bologna · ★4.75 · 1 bedroom · 2 beds · 1 bath,355367247,Vie D'Acqua Di Viana Sandra,,Santo Stefano,44.499359999999996,11.34595,Entire home/apt,72,2,12,2023-05-15,0.36,5,91,2,56259,Irnerio
2242,44189312,Rental unit in Bologna · ★4.67 · 1 bedroom · 1 bed · 1 bath,11580855,Jj,,Santo Stefano,44.48986,11.35592,Entire home/apt,77,18,6,2023-05-31,0.25,3,166,4,,Galvani
2243,44192866,Condo in Bologna · ★4.65 · 1 bedroom · 1 bed · 1 bath,137492425,Martina,,Navile,44.520590999999996,11.3179593,Entire home/apt,55,1,82,2023-06-18,8.98,1,267,82,,Lame
2244,44222033,Rental unit in Bologna · ★4.88 · 1 bedroom · 2 beds · 1 bath,190946069,Lucia,,Savena,44.48154,11.3783,Entire home/apt,57,2,65,2023-06-10,3.63,7,0,47,,Mazzini
2245,44226150,Rental unit in Bologna · ★4.72 · 1 bedroom · 3 beds · 1 bath,355367247,Vie D'Acqua Di Viana Sandra,,Santo Stefano,44.4987,11.34411,Entire home/apt,69,2,25,2023-06-18,0.71,5,151,14,,Marconi
2246,44260493,Rental unit in Bologna · ★4.33 · 2 bedrooms · 4 beds · 1 bath,356717474,Claudia,,Santo Stefano,44.494009999999996,11.35267,Entire home/apt,136,3,6,2021-08-03,0.17,1,22,0,,Irnerio
2247,44282332,Rental unit in Bologna · 1 bedroom · 2 beds · 1 shared bath,187351177,Munkhgerel,,Santo Stefano,44.48636,11.34714,Shared room,11,1,1,2020-07-23,0.03,1,0,0,,Galvani
2248,44311245,Rental unit in Bologna · 1 bedroom · 2 beds · 1 bath,137234501,Filippo,,Santo Stefano,44.499179999999996,11.35195,Entire home/apt,160,2,1,2023-05-07,0.64,8,233,1,,Irnerio
2249,44312124,Condo in Bologna · ★4.67 · Studio · 2 beds · 1 bath,137234501,Filippo,,Santo Stefano,44.49937,11.351560000000001,Entire home/apt,149,2,3,2023-04-21,0.13,8,200,2,,Irnerio
2250,44326483,Rental unit in Bologna · ★4.88 · 2 bedrooms · 2 beds · 1 bath,25572673,Marzia,,Santo Stefano,44.4938,11.35328,Entire home/apt,109,6,17,2022-09-30,0.5,1,272,4,,Irnerio
2251,44329029,Rental unit in Bologna · ★4.81 · 1 bedroom · 3 beds · 1 bath,4075819,Alessia,,Santo Stefano,44.47576,11.371310000000001,Entire home/apt,72,4,31,2023-05-27,1.26,1,272,21,,Murri
2252,44330023,Rental unit in Bologna · ★4.67 · 1 bedroom · 3 beds · 1.5 baths,355367247,Vie D'Acqua Di Viana Sandra,,Santo Stefano,44.49877,11.34473,Entire home/apt,69,2,6,2022-12-18,0.17,5,53,3,,Irnerio
2253,44330236,Rental unit in Bologna · ★4.73 · 2 bedrooms · 3 beds · 1 bath,98133001,Sonia,,Santo Stefano,44.49553,11.3473,Entire home/apt,176,1,208,2023-06-20,5.89,11,319,91,,Irnerio
2254,44346213,Rental unit in Bologna · ★4.67 · 2 bedrooms · 2 beds · 2 baths,39681587,Rino,,Porto - Saragozza,44.49168,11.33972,Entire home/apt,200,1,3,2022-10-29,0.09,52,113,2,,Malpighi
2255,44386313,Rental unit in Bologna · ★4.87 · 1 bedroom · 2 beds · 1 bath,12233636,Soraya,,Santo Stefano,44.490829999999995,11.35335,Entire home/apt,63,3,135,2023-06-18,3.97,1,168,68,,Galvani
2256,44388934,Rental unit in Bologna · ★4.42 · 1 bedroom · 2 beds · 1.5 baths,63056213,Stefano,,Porto - Saragozza,44.49971,11.34246,Entire home/apt,99,1,60,2023-05-03,1.78,4,301,3,,Marconi
2257,44398087,Bed and breakfast in Bologna · 1 bedroom · 1 bed · 1 private bath,137234501,Filippo,,Santo Stefano,44.4992,11.35,Private room,132,2,0,,,8,187,0,,Irnerio
2258,44415478,Rental unit in Bologna · 3 bedrooms · 2 baths,21181030,Marianna,,Santo Stefano,44.49779,11.34641,Entire home/apt,150,3,0,,,3,55,0,,Irnerio
2259,44435592,Rental unit in Bologna · ★4.88 · 1 bedroom · 2 beds · 1 bath,348075146,Ida,,Porto - Saragozza,44.49928,11.33394,Entire home/apt,80,1,131,2023-06-16,3.96,1,29,55,,Marconi
