id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
31874390,CASAMORE una piccola casetta nel cuore di Bologna,106746301,Valentina,,San Donato - San Vitale,4.449.948,1.136.614,Entire home/apt,55,1,1,31/01/19,0.81,1,139,march,2019
31874771,Old Center Station,238901548,Fausto,,Porto - Saragozza,4.450.544,1.134.228,Entire home/apt,60,2,0,,,1,107,march,2019
31897570,Clio Home - Canton de Fiori,12779047,Elena,,Porto - Saragozza,4.449.564,1.134.224,Entire home/apt,75,2,4,03/03/19,2.86,4,309,march,2019
31898158,Ortensia,239111729,Pietro,,Santo Stefano,4.450.086,1.134.628,Private room,55,1,0,,,3,322,march,2019
31900133,Viola,239111729,Pietro,,Santo Stefano,4.449.953,1.134.726,Private room,55,1,3,03/03/19,2.65,3,329,march,2019
31904723,Iris,239111729,Pietro,,Santo Stefano,4.449.973,1.134.771,Private room,55,1,2,10/02/19,1.76,3,325,march,2019
31913961,Open space San Francesco,239250760,Nicola,,Porto - Saragozza,4.449.501,1.133.745,Entire home/apt,70,2,1,25/02/19,1,1,206,march,2019
31920292,APPARTAMENTO NEL CENTRO STORICO DI BOLOGNA,29624257,Angelo,,Santo Stefano,4.449.543,1.135.135,Entire home/apt,65,1,2,24/02/19,2,1,11,march,2019
31921378,Attic in Bologna!,54039581,Enrica,,Porto - Saragozza,4.449.383,1.132.922,Private room,35,4,1,03/03/19,1,1,116,march,2019
31922311,Ca' Sant'Orsola,239323341,Livia,,San Donato - San Vitale,4.449.085,1.136.858,Entire home/apt,98,1,4,22/02/19,4,1,122,march,2019
31924103,A casa di Bianca camera Leo,28086156,Manuel,,Savena,444.624,1.137.016,Private room,29,1,0,,,3,57,march,2019
31926473,A casa di Bianca camera Stella,28086156,Manuel,,Savena,4.446.246,1.137.109,Private room,29,1,0,,,3,57,march,2019
31926886,A casa di Bianca intero appartamento,28086156,Manuel,,Savena,4.446.192,1.136.942,Entire home/apt,59,1,0,,,3,57,march,2019
31928047,Suite con SPA Privata | 4 Star Luxury Rooms & SPA,3416968,Pippo,,Santo Stefano,4.450.306,1.135.071,Entire home/apt,300,1,0,,,1,302,march,2019
31936675,Mono centrale di fronte ospedale cucina e parking,167843715,Davide,,San Donato - San Vitale,4.449.616,1.136.152,Private room,65,2,1,10/02/19,1,1,29,march,2019
31940758,Quiet room in Bologna,99976495,Alberto E Valentina,,Santo Stefano,4.447.633,1.136.791,Private room,20,1,9,01/03/19,7.71,1,30,march,2019
31941420,Residenza San Vitale,158937887,Sante,,San Donato - San Vitale,4.449.136,1.136.749,Entire home/apt,45,1,1,11/02/19,1,2,31,march,2019
