id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location,
2826093,1179,8063636,Private room,,Bologna,,Borgo Panigale - Reno,181,4.5,5,1,,32,,Affitto Camera Bologna ad.aeroporto,2017-04-30 22:49:10.847930,44.525251,11.27319,0101000020E61000004030478FDF8B26407C98BD6C3B434640,
12143995,1179,65196155,Private room,,Bologna,,San Donato - San Vitale,3,5,1,1,,37,,Università /Osp.le S'Orsola/Fiera,2017-04-30 22:49:08.904817,44.498662,11.360961,0101000020E61000004E4354E1CFB8264005E10A28D43F4640,
17037242,1179,43587057,Private room,,Bologna,,Santo Stefano,15,4.5,1,1,,14,,Posto letto in pieno centro :-),2017-04-30 22:49:08.890567,44.498178,11.351436,0101000020E61000002C465D6BEFB3264019CBF44BC43F4640,
8395511,1179,44235526,Private room,,Bologna,,Porto - Saragozza,14,4.5,2,1,,34,,Camera con bagno privato.,2017-04-30 22:49:08.887746,44.502881,11.327967,0101000020E61000009F55664AEBA72640D06394675E404640,
14898478,1179,28568040,Private room,,Bologna,,Santo Stefano,9,4.5,1,1,,23,,Mascarella Bella,2017-04-30 22:49:08.884439,44.499261,11.350206,0101000020E6100000D8B969334EB326408995D1C8E73F4640,
7447664,1179,26695240,Private room,,Bologna,,Porto - Saragozza,44,4.5,1,1,,39,,spacious bright double room with private bathroom,2017-04-30 22:49:08.880187,44.503081,11.331849,0101000020E6100000AD6BB41CE8A92640971E4DF564404640,
83173,1179,453008,Private room,,Bologna,,Navile,65,4.5,2,1,,33,,Cosy and bright rooms in Bologna,2017-04-30 22:49:08.875527,44.510128,11.343161,0101000020E61000007B8670CCB2AF26400F63D2DF4B414640,
5614481,1179,29102516,Private room,,Bologna,,Porto - Saragozza,6,4.5,1,1,,18,,Stanza accogliente,2017-04-30 22:49:08.872677,44.502357,11.328353,0101000020E6100000441669E21DA8264056F5F23B4D404640,
16497507,1179,108128781,Private room,,Bologna,,Navile,8,5,2,1,,23,,Comfortable room 2 minutes from the train station,2017-04-30 22:49:08.866660,44.522559,11.359245,0101000020E6100000C780ECF5EEB72640809D9B36E3424640,
510771,1179,2516628,Private room,,Bologna,,Borgo Panigale - Reno,52,4.5,2,1,,34,,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2017-04-30 22:49:08.859868,44.495964,11.291097,0101000020E61000006CED7DAA0A95264026FF93BF7B3F4640,
17498244,1179,76676205,Private room,,Bologna,,San Donato - San Vitale,3,4.5,3,1,,24,,"ottima singola, immersa nel verde",2017-04-30 22:49:08.857077,44.506303,11.376832,0101000020E61000002C2CB81FF0C02640F06E6589CE404640,
6909146,1179,29404800,Private room,,Bologna,,Santo Stefano,38,4.5,1,1,,32,,"B&B ""Alle Mura"" Single Room #1",2017-04-30 22:49:07.606239,44.500925,11.350733,0101000020E61000008541994693B32640D95F764F1E404640,
13198694,1179,73913100,Private room,,Bologna,,Santo Stefano,10,4.5,2,1,,39,,Camera matrimoniale vicina al centro e al parco,2017-04-30 22:49:07.596840,44.482623,11.361282,0101000020E610000056444DF4F9B8264011A62897C63D4640,
8320469,1179,10405330,Private room,,Bologna,,Santo Stefano,49,5,2,1,,34,,Nice double room in green area,2017-04-30 22:49:07.589647,44.474478,11.370486,0101000020E610000070404B57B0BD2640F355F2B1BB3C4640,
14004874,1179,77615630,Private room,,Bologna,,Santo Stefano,14,5,2,1,,34,,stanza privata in centro storico,2017-04-30 22:49:07.584671,44.493509,11.355697,0101000020E61000001492CCEA1DB626400EA48B4D2B3F4640,
